REGCODE,DIVCODE,STATEFP,COUNTYFP,CSACODE,CBSACODE,METDCODE,METMICSA,CENTOUTL,ADULTMEN,MSM12MTH,MSM5YEAR
4,8,08,035,216,19740,,1,1,100490,2734,4227
4,8,08,037,233,20780,,2,1,21460,118,182
4,8,08,039,216,19740,,1,2,8694,196,302
4,8,08,041,,17820,,1,1,233498,3150,4870
4,8,08,043,444,15860,,2,1,23505,210,325
4,8,08,045,233,24060,,2,1,21413,164,254
4,8,08,047,216,19740,,1,2,2358,29,46
4,8,08,049,,,,,,6325,35,54
4,8,08,051,,,,,,6843,38,58
4,8,08,053,,,,,,326,2,3
4,8,08,055,,,,,,2725,15,23
4,8,08,057,,,,,,575,3,5
4,8,08,059,216,19740,,1,1,207891,5496,8496
4,8,08,061,,,,,,467,3,4
4,8,08,063,,,,,,3745,21,32
4,8,08,065,,,,,,2807,15,24
4,8,08,067,,20420,,2,1,21033,428,662
4,8,08,069,,22660,,1,1,118958,1579,2441
4,8,08,071,,,,,,6168,54,83
4,8,08,073,,,,,,2771,23,35
4,8,08,075,,44540,,2,1,10196,161,249
4,8,08,077,,24300,,1,1,55797,782,1208
4,8,08,079,,,,,,341,2,3
4,8,08,081,525,18780,,2,1,5034,28,43
4,8,08,083,,,,,,9589,96,149
4,8,08,085,,33940,,2,1,15034,83,128
4,8,08,087,,22820,,2,1,10199,56,87
4,8,08,089,,,,,,6940,75,115
4,8,08,091,,,,,,1947,11,17
4,8,08,093,216,19740,,1,2,7006,188,291
4,8,08,095,,,,,,1674,24,37
4,8,08,097,233,24060,,2,2,7517,41,64
4,8,08,099,,,,,,4439,112,173
4,8,08,101,444,39380,,1,1,58904,671,1037
4,8,08,103,,,,,,2708,15,23
4,8,08,105,,,,,,4378,96,149
4,8,08,107,525,44460,,2,1,9913,95,146
4,8,08,109,,,,,,2448,27,41
4,8,08,111,,,,,,337,2,3
4,8,08,113,,,,,,3255,18,28
4,8,08,115,,,,,,933,5,8
4,8,08,117,,14720,,2,1,12924,212,328
4,8,08,119,,17820,,1,2,9462,66,102
4,8,08,121,,,,,,1937,11,16
4,8,08,123,216,24540,,1,1,93382,932,1441
4,8,08,125,,,,,,3675,20,31
1,1,09,001,408,14860,,1,1,335063,5334,8245
1,1,09,003,278,25540,,1,1,330984,10847,16767
1,1,09,005,408,45860,,2,1,72289,1196,1849
1,1,09,007,278,25540,,1,1,63346,1914,2959
1,1,09,009,408,35300,,1,1,319114,4944,7643
1,1,09,011,278,35980,,1,1,107291,1585,2450
1,1,09,013,278,25540,,1,1,60901,1557,2406
1,1,09,015,148,49340,,1,1,45117,642,992
3,5,10,001,428,20100,,1,1,58814,713,1102
3,5,10,003,428,37980,48864,1,1,199553,5051,7808
3,5,10,005,,41540,,1,1,77187,2677,4138
3,5,11,001,548,47900,47894,1,1,239916,23789,36775
3,5,12,001,264,23540,,1,1,98041,1578,2439
3,5,12,003,300,27260,,1,2,10510,131,203
3,5,12,005,,37460,,1,1,65595,958,1482
3,5,12,007,,,,,,12721,154,238
3,5,12,009,,37340,,1,1,212862,3299,5100
3,5,12,011,370,33100,22744,1,1,664314,37926,58629
3,5,12,013,,,,,,6469,36,55
3,5,12,015,412,39460,,1,1,66758,1041,1610
3,5,12,017,,26140,,1,1,56776,603,932
3,5,12,019,300,27260,,1,1,69242,1183,1828
3,5,12,021,162,34940,,1,1,129592,1851,2861
3,5,12,023,264,29380,,2,1,26720,422,653
3,5,12,027,412,11580,,2,1,15550,107,165
3,5,12,029,,,,,,6924,38,59
3,5,12,031,300,27260,,1,1,319723,10627,16428
3,5,12,033,,37860,,1,1,116350,2387,3690
3,5,12,035,422,19660,,1,1,37119,660,1021
3,5,12,037,,,,,,5712,70,109
3,5,12,039,533,45220,,1,2,17941,161,250
3,5,12,041,264,23540,,1,2,6938,49,75
3,5,12,043,,,,,,5912,33,50
3,5,12,045,,37460,,1,2,7748,54,84
3,5,12,047,,,,,,7113,39,60
3,5,12,049,,48100,,2,1,10983,60,93
3,5,12,051,,17500,,2,1,14931,406,627
3,5,12,053,,45300,,1,2,65613,1761,2723
3,5,12,055,,42700,,1,1,38820,775,1198
3,5,12,057,,45300,,1,1,461567,18272,28246
3,5,12,059,,,,,,8518,47,72
3,5,12,061,370,42680,,1,1,53996,1066,1648
3,5,12,063,,,,,,22194,149,230
3,5,12,065,533,45220,,1,2,6258,156,242
3,5,12,067,,,,,,4206,23,36
3,5,12,069,422,36740,,1,2,114118,3091,4779
3,5,12,071,162,15980,,1,1,248375,5003,7733
3,5,12,073,533,45220,,1,1,105104,1299,2009
3,5,12,075,,,,,,15478,172,266
3,5,12,077,,,,,,4334,353,546
3,5,12,079,,,,,,7880,43,67
3,5,12,081,412,35840,,1,1,125436,1967,3041
3,5,12,083,,36100,,1,1,127266,1534,2371
3,5,12,085,370,38940,,1,1,60030,735,1137
3,5,12,086,370,33100,33124,1,1,956927,38640,59733
3,5,12,087,,28580,,2,1,33605,1974,3052
3,5,12,089,300,27260,,1,2,28380,605,935
3,5,12,091,,18880,,1,1,72502,885,1368
3,5,12,093,370,36380,,2,1,16227,205,316
3,5,12,095,422,36740,,1,1,438963,19880,30732
3,5,12,097,422,36740,,1,2,100354,2478,3831
3,5,12,099,370,33100,48424,1,1,510352,14702,22727
3,5,12,101,,45300,,1,1,177295,4239,6552
3,5,12,103,,45300,,1,1,358997,16304,25204
3,5,12,105,,29460,,1,1,226049,3594,5555
3,5,12,107,300,37260,,2,1,28053,183,284
3,5,12,109,300,27260,,1,2,72910,1761,2722
3,5,12,111,370,38940,,1,1,105715,1581,2444
3,5,12,113,,37860,,1,1,60508,974,1505
3,5,12,115,412,35840,,1,1,152328,3125,4830
3,5,12,117,422,36740,,1,1,158048,4161,6432
3,5,12,119,422,45540,,1,1,46494,748,1157
3,5,12,121,,,,,,17118,94,146
3,5,12,123,,,,,,10396,57,88
3,5,12,125,,,,,,8485,47,72
3,5,12,127,422,19660,,1,1,194863,3071,4748
3,5,12,129,533,45220,,1,2,13402,94,145
3,5,12,131,,18880,,1,1,23032,203,313
3,5,12,133,,,,,,10832,121,188
3,5,13,001,,,,,,6846,38,58
3,5,13,003,,,,,,2974,16,25
3,5,13,005,,,,,,4174,144,222
3,5,13,007,,10500,,1,2,1306,9,14
3,5,13,009,,33300,,2,1,18222,247,381
3,5,13,011,,,,,,6938,38,59
3,5,13,013,122,12060,,1,2,24372,568,879
3,5,13,015,122,12060,,1,2,36141,1015,1569
3,5,13,017,,22340,,2,1,5966,99,154
3,5,13,019,,,,,,6969,62,96
3,5,13,021,356,31420,,1,1,52865,425,658
3,5,13,023,,,,,,4641,100,154
3,5,13,025,,15260,,1,2,6755,47,73
3,5,13,027,,46660,,1,2,5828,41,63
3,5,13,029,496,42340,,1,1,10709,100,154
3,5,13,031,496,44340,,2,1,27921,234,362
3,5,13,033,,12260,,1,2,7820,55,85
3,5,13,035,122,12060,,1,2,9879,123,191
3,5,13,037,,,,,,3267,44,69
3,5,13,039,300,41220,,2,1,19033,170,263
3,5,13,043,,,,,,3995,67,104
3,5,13,045,122,12060,,1,2,40015,879,1359
3,5,13,047,174,16860,,1,1,22960,207,320
3,5,13,049,,,,,,5979,95,147
3,5,13,051,496,42340,,1,1,99849,2105,3253
3,5,13,053,194,17980,,1,1,6053,42,65
3,5,13,055,470,44900,,2,1,10259,99,152
3,5,13,057,122,12060,,1,1,77559,3228,4990
3,5,13,059,122,12020,,1,1,45928,814,1259
3,5,13,061,,,,,,1041,6,9
3,5,13,063,122,12060,,1,1,86821,1525,2358
3,5,13,065,,,,,,2398,13,20
3,5,13,067,122,12060,,1,1,249724,7367,11388
3,5,13,069,,20060,,2,1,16306,117,181
3,5,13,071,,34220,,2,1,16293,219,339
3,5,13,073,,12260,,1,1,44857,314,485
3,5,13,075,,,,,,5960,65,100
3,5,13,077,122,12060,,1,1,45699,763,1179
3,5,13,079,356,31420,,1,2,4880,34,53
3,5,13,081,,18380,,2,1,8018,44,68
3,5,13,083,174,16860,,1,2,6317,44,68
3,5,13,085,122,12060,,1,2,8540,189,293
3,5,13,087,533,12460,,2,1,9876,114,176
3,5,13,089,122,12060,,1,1,249589,13133,20302
3,5,13,091,,,,,,8794,48,75
3,5,13,093,,,,,,6381,307,475
3,5,13,095,,10500,,1,1,31587,346,534
3,5,13,097,122,12060,,1,1,45211,1054,1629
3,5,13,099,,,,,,3660,20,31
3,5,13,101,,46660,,1,2,1446,10,16
3,5,13,103,496,42340,,1,2,18674,305,472
3,5,13,105,,,,,,7262,95,148
3,5,13,107,,,,,,8335,66,102
3,5,13,109,,,,,,3864,35,54
3,5,13,111,,,,,,9315,51,79
3,5,13,113,122,12060,,1,1,37899,670,1036
3,5,13,115,470,40660,,1,1,34967,316,488
3,5,13,117,122,12060,,1,1,62739,2262,3497
3,5,13,119,,,,,,8320,112,172
3,5,13,121,122,12060,,1,1,348541,19516,30169
3,5,13,123,,,,,,11165,184,285
3,5,13,125,,,,,,1077,6,9
3,5,13,127,,15260,,1,1,28448,313,483
3,5,13,129,122,15660,,2,1,19858,109,169
3,5,13,131,,,,,,9103,50,77
3,5,13,133,,,,,,6317,35,54
3,5,13,135,122,12060,,1,1,285637,8654,13378
3,5,13,137,,18460,,2,1,15228,229,354
3,5,13,139,122,23580,,1,1,65404,904,1398
3,5,13,141,,33300,,2,2,4249,23,36
3,5,13,143,122,12060,,1,2,10363,215,332
3,5,13,145,194,17980,,1,2,12162,85,132
3,5,13,147,,,,,,9663,114,177
3,5,13,149,122,12060,,1,2,4316,111,171
3,5,13,151,122,12060,,1,1,69031,1425,2203
3,5,13,153,356,47580,,1,1,50427,702,1086
3,5,13,155,,,,,,3703,42,65
3,5,13,157,122,27600,,2,1,21866,180,279
3,5,13,159,122,12060,,1,2,5141,64,99
3,5,13,161,,,,,,5302,29,45
3,5,13,163,,,,,,5744,32,49
3,5,13,165,,,,,,3046,17,26
3,5,13,167,,20140,,2,2,4539,25,39
3,5,13,169,356,31420,,1,2,10097,240,371
3,5,13,171,122,12060,,1,2,6794,287,443
3,5,13,173,,46660,,1,2,3785,26,41
3,5,13,175,,20140,,2,1,16824,93,143
3,5,13,177,,10500,,1,1,10278,72,111
3,5,13,179,496,25980,,1,1,22670,210,324
3,5,13,181,,12260,,1,2,3052,21,33
3,5,13,183,496,25980,,1,2,5304,244,377
3,5,13,185,,46660,,1,1,40597,337,521
3,5,13,187,,,,,,11786,247,382
3,5,13,189,,12260,,1,2,7348,51,80
3,5,13,191,,15260,,1,2,5431,38,59
3,5,13,193,,,,,,6099,82,127
3,5,13,195,122,12020,,1,2,10400,187,290
3,5,13,197,194,17980,,1,2,3364,90,139
3,5,13,199,122,12060,,1,2,7845,98,152
3,5,13,201,,,,,,2197,12,19
3,5,13,205,,,,,,9162,204,315
3,5,13,207,356,31420,,1,2,10290,92,142
3,5,13,209,,47080,,2,2,3584,20,30
3,5,13,211,122,12060,,1,2,6459,118,183
3,5,13,213,174,19140,,1,1,14323,228,353
3,5,13,215,194,17980,,1,1,69440,909,1406
3,5,13,217,122,12060,,1,1,33440,687,1062
3,5,13,219,122,12020,,1,1,11549,133,205
3,5,13,221,122,12020,,1,2,5554,39,60
3,5,13,223,122,12060,,1,1,48726,674,1041
3,5,13,225,356,47580,,1,2,10145,99,152
3,5,13,227,122,12060,,1,2,11423,286,443
3,5,13,229,,48180,,2,2,6722,121,188
3,5,13,231,122,12060,,1,2,6348,106,163
3,5,13,233,122,16340,,2,1,14727,81,125
3,5,13,235,356,47580,,1,2,3835,27,41
3,5,13,237,,,,,,8297,136,211
3,5,13,239,,,,,,885,5,8
3,5,13,241,,,,,,6399,169,261
3,5,13,243,,,,,,2804,15,24
3,5,13,245,,12260,,1,1,72471,641,991
3,5,13,247,122,12060,,1,1,29239,555,858
3,5,13,249,,11140,,2,2,1837,10,16
3,5,13,251,,,,,,5178,28,44
3,5,13,253,,,,,,3105,17,26
3,5,13,255,122,12060,,1,1,22742,372,575
3,5,13,257,,45740,,2,1,9337,51,79
3,5,13,259,,,,,,3199,18,27
3,5,13,261,,11140,,2,1,11176,66,102
3,5,13,263,,,,,,2514,14,21
3,5,13,265,,,,,,702,4,6
3,5,13,267,,,,,,11964,66,102
3,5,13,269,,,,,,3070,17,26
3,5,13,271,,,,,,7930,44,67
3,5,13,273,,10500,,1,2,3313,23,36
3,5,13,275,,45620,,2,1,15525,85,132
3,5,13,277,,45700,,2,1,14268,155,239
3,5,13,279,,47080,,2,1,9095,50,77
3,5,13,281,,,,,,4205,90,140
3,5,13,283,,,,,,2448,13,21
3,5,13,285,122,29300,,2,1,23573,214,331
3,5,13,287,,,,,,3162,17,27
3,5,13,289,356,31420,,1,2,3409,61,94
3,5,13,291,,,,,,8469,47,72
3,5,13,293,122,45580,,2,1,9676,103,160
3,5,13,295,174,16860,,1,1,25511,229,354
3,5,13,297,122,12060,,1,1,29666,454,701
3,5,13,299,,48180,,2,1,13577,310,480
3,5,13,301,,,,,,2013,11,17
3,5,13,303,,,,,,8112,45,69
3,5,13,305,,27700,,2,1,11819,65,100
3,5,13,307,,,,,,1063,6,9
3,5,13,309,,,,,,4712,26,40
3,5,13,311,,,,,,10333,193,299
3,5,13,313,174,19140,,1,1,36420,388,600
3,5,13,315,,,,,,4474,25,38
3,5,13,317,,,,,,3756,21,32
3,5,13,319,,,,,,3373,19,29
3,5,13,321,,10500,,1,2,7780,124,192
4,9,15,001,,25900,,2,1,72066,1720,2659
4,9,15,003,,46520,,1,1,376424,6586,10181
4,9,15,005,,27980,,1,2,34,0,0
4,9,15,007,,28180,,2,1,26083,846,1308
4,9,15,009,,27980,,1,1,60354,817,1263
4,8,16,001,147,14260,,1,1,147667,1632,2523
4,8,16,003,,,,,,1647,28,43
4,8,16,005,,38540,,1,1,29714,411,636
4,8,16,007,,,,,,2156,51,78
4,8,16,009,,,,,,3555,20,30
4,8,16,011,292,13940,,2,1,15222,185,286
4,8,16,013,,25200,,2,1,8268,76,118
4,8,16,015,147,14260,,1,2,2883,38,59
4,8,16,017,,41760,,2,1,16043,191,296
4,8,16,019,292,26820,,1,1,35577,424,656
4,8,16,021,,,,,,4199,23,36
4,8,16,023,292,26820,,1,2,1045,7,11
4,8,16,025,,25200,,2,2,519,3,4
4,8,16,027,147,14260,,1,2,64699,804,1243
4,8,16,029,,,,,,2456,14,21
4,8,16,031,,15420,,2,1,7854,278,430
4,8,16,033,,,,,,300,2,3
4,8,16,035,,,,,,3933,22,33
4,8,16,037,,,,,,1816,10,15
4,8,16,039,147,34300,,2,1,10117,56,86
4,8,16,041,,30860,,1,2,4190,29,45
4,8,16,043,292,39940,,2,2,4737,62,95
4,8,16,045,147,14260,,1,2,6256,44,68
4,8,16,047,,,,,,5594,31,48
4,8,16,049,,,,,,6747,37,57
4,8,16,051,292,26820,,1,2,8538,99,153
4,8,16,053,,46300,,2,2,7815,107,166
4,8,16,055,518,17660,,1,1,51811,580,896
4,8,16,057,446,34140,,2,1,15756,205,316
4,8,16,059,,,,,,3187,18,27
4,8,16,061,,,,,,1512,8,13
4,8,16,063,,25200,,2,2,1855,10,16
4,8,16,065,292,39940,,2,1,13322,73,113
4,8,16,067,,15420,,2,2,7238,40,62
4,8,16,069,,30300,,1,1,15126,190,293
4,8,16,071,,,,,,1562,9,13
4,8,16,073,147,14260,,1,2,4206,29,46
4,8,16,075,147,36620,,2,1,8024,44,68
4,8,16,077,,,,,,2742,15,23
4,8,16,079,,,,,,5028,28,43
4,8,16,081,,27220,,2,2,3785,21,32
4,8,16,083,,46300,,2,1,27673,415,642
4,8,16,085,,,,,,3998,22,34
4,8,16,087,,,,,,3841,21,33
