family_income,gpa,parent_avg_age
28914.0,3.29,56
35840.0,2.92,45
41349.0,2.86,35
56380.0,3.26,65
27249.0,2.85,31
44028.0,3.07,61
34147.0,2.66,55
49211.0,3.02,30
56880.0,3.39,50
56458.0,3.26,41
25130.0,2.9,40
43686.0,2.88,40
33414.0,2.62,66
41346.0,3.18,56
24482.0,3.01,60
68178.0,3.22,34
106093.0,3.65,56
19495.0,2.86,42
23884.0,2.8,62
29578.0,2.8,40
15288.0,2.46,58
42609.0,2.75,60
44145.0,2.81,48
30897.0,3.04,50
56948.0,3.1,38
56865.0,3.11,42
48226.0,3.09,43
25383.0,3.17,49
41254.0,3.07,48
27841.0,3.05,61
60250.0,3.09,30
39527.0,3.03,40
37631.0,3.19,59
77219.0,3.42,33
21116.0,2.85,57
57231.0,2.99,43
20668.0,2.76,49
29124.0,3.06,62
54073.0,3.37,42
22946.0,3.0,50
32060.0,2.89,64
69355.0,3.42,38
50618.0,3.43,35
25003.0,2.53,39
26960.0,2.97,44
15948.0,2.81,54
60707.0,3.68,58
3170.0,2.07,41
26531.0,2.49,35
23204.0,3.02,58
55808.0,3.01,40
13538.0,2.48,36
98106.0,3.63,33
42384.0,3.4,61
57472.0,3.38,33
24398.0,3.14,38
36746.0,2.92,47
56030.0,3.2,34
51688.0,3.07,62
34971.0,2.81,64
34585.0,2.67,36
45636.0,2.93,60
34165.0,3.07,40
70327.0,3.34,36
24435.0,2.71,39
53991.0,3.55,54
31993.0,2.77,43
24266.0,3.12,56
52817.0,3.13,66
29036.0,2.62,53
57879.0,3.21,61
48626.0,3.07,40
32035.0,2.65,43
15716.0,2.43,30
20885.0,2.49,37
49063.0,2.86,30
21915.0,2.78,30
39425.0,2.95,61
41953.0,2.87,57
29813.0,3.28,56
40704.0,3.13,44
40175.0,2.74,35
21476.0,2.78,38
85887.0,3.53,53
20891.0,2.65,46
22533.0,2.71,43
24410.0,2.63,58
31353.0,2.96,51
75958.0,3.36,64
52700.0,3.0,59
36462.0,2.71,48
29386.0,3.08,50
75468.0,3.56,37
50487.0,2.87,54
43597.0,3.04,31
51407.0,2.9,38
28639.0,2.93,64
8348.0,2.44,44
65972.0,3.14,47
22180.0,3.0,53
49431.0,2.97,42
59507.0,3.31,51
71599.0,3.47,30
21194.0,2.89,32
13575.0,2.68,62
25482.0,2.59,32
26198.0,2.63,33
15721.0,2.53,57
44798.0,3.24,47
36765.0,3.15,57
20359.0,2.59,60
95978.0,3.58,64
61422.0,3.25,30
23366.0,3.01,66
31318.0,2.64,64
52117.0,3.19,62
43172.0,3.11,38
50806.0,3.22,32
25436.0,3.05,48
46013.0,2.92,40
61855.0,3.08,33
29541.0,3.02,36
98549.0,3.89,41
24617.0,2.84,61
19129.0,2.75,38
68034.0,3.32,54
34430.0,3.02,45
70793.0,3.38,58
37768.0,2.77,64
13465.0,2.57,56
36933.0,3.15,34
32720.0,3.2,64
56479.0,3.16,56
26906.0,2.96,65
30222.0,3.18,46
65666.0,3.11,53
41104.0,2.82,38
40600.0,2.89,43
49701.0,3.23,59
35392.0,3.13,62
59030.0,3.28,60
51908.0,3.22,60
55405.0,3.02,31
18005.0,2.64,35
33747.0,2.61,66
48279.0,2.84,61
28211.0,2.61,50
49841.0,3.02,56
30114.0,2.98,53
23109.0,2.95,59
16398.0,2.68,32
83186.0,3.36,51
93101.0,3.51,39
42819.0,3.02,63
30926.0,3.02,32
39716.0,3.12,61
49384.0,3.11,60
40526.0,3.21,47
38694.0,2.89,35
29281.0,2.64,31
21015.0,2.76,57
55001.0,3.0,35
13136.0,2.56,38
39747.0,3.06,61
33800.0,2.82,39
27315.0,2.81,37
29703.0,2.95,40
38968.0,2.75,48
30163.0,2.96,56
17156.0,2.81,43
29012.0,2.8,65
15812.0,2.49,49
63785.0,3.1,41
35775.0,2.93,56
35711.0,2.78,40
52469.0,3.27,64
45346.0,3.44,39
31269.0,3.0,35
39216.0,2.89,52
43286.0,3.22,43
39149.0,3.54,62
46625.0,2.83,55
15020.0,2.38,53
18811.0,2.9,44
56391.0,3.35,34
32084.0,2.94,37
61329.0,3.42,38
57337.0,3.04,32
29519.0,2.77,63
62215.0,3.07,59
24983.0,2.79,56
31779.0,2.9,36
29714.0,3.01,43
46830.0,3.23,63
35011.0,2.72,49
6813.0,2.24,44
41392.0,3.31,47
89942.0,3.51,54
19699.0,2.63,30
51127.0,2.89,39
39226.0,3.33,44
96355.0,3.57,63
27851.0,2.64,39
48909.0,3.11,39
41209.0,2.74,38
33488.0,2.95,36
47364.0,2.99,32
28522.0,2.7,57
69260.0,3.17,54
57674.0,3.15,62
26771.0,2.71,36
13683.0,2.45,48
31993.0,2.71,59
34946.0,3.0,36
42144.0,2.81,65
8189.0,2.27,61
27738.0,3.11,65
41024.0,3.21,50
24760.0,2.74,43
34000.0,2.7,59
38261.0,2.97,43
44619.0,2.9,52
40467.0,2.93,36
36787.0,3.18,42
45647.0,3.47,40
40862.0,3.09,47
22011.0,2.75,35
27498.0,2.66,62
45841.0,3.15,55
33214.0,3.04,53
25278.0,2.98,37
35392.0,3.15,41
59097.0,3.03,60
29101.0,2.96,60
34706.0,2.78,56
59551.0,3.23,38
41431.0,3.14,41
45887.0,3.01,32
29466.0,2.82,35
77061.0,3.28,65
16982.0,2.86,32
29246.0,3.24,46
82373.0,3.48,56
55906.0,3.21,37
31702.0,2.63,57
42446.0,3.05,30
21172.0,2.69,44
43788.0,3.34,46
13324.0,2.3,62
35974.0,2.64,51
26519.0,3.13,62
37390.0,2.78,58
19334.0,2.95,33
50614.0,3.23,62
76277.0,3.35,61
44295.0,3.23,58
37551.0,2.75,51
29739.0,2.97,33
57826.0,3.38,57
56591.0,3.01,49
31433.0,2.61,66
34364.0,2.8,31
29455.0,2.73,43
33512.0,3.08,35
28513.0,3.21,40
15968.0,2.52,48
59926.0,3.6,53
15231.0,2.69,58
49549.0,3.13,57
41420.0,3.18,61
93632.0,3.54,38
27545.0,2.74,56
12699.0,2.38,37
36433.0,2.66,39
28849.0,3.09,44
19231.0,2.73,51
27261.0,2.93,38
38998.0,2.69,54
38005.0,3.08,44
33040.0,2.76,30
51356.0,3.03,48
61082.0,3.47,54
54417.0,3.02,42
56348.0,3.55,47
45797.0,3.04,40
21215.0,2.86,44
56211.0,3.27,43
52063.0,3.43,48
30676.0,3.18,43
21874.0,2.6,49
38429.0,2.9,47
36178.0,3.22,34
22256.0,2.87,57
26498.0,2.57,65
34971.0,2.89,66
20356.0,2.98,54
18284.0,2.54,43
29586.0,2.63,48
44676.0,3.0,43
98060.0,3.64,41
18595.0,2.74,31
51893.0,2.95,55
17998.0,2.44,52
44188.0,2.78,33
34085.0,2.98,50
10847.0,2.52,54
36809.0,2.66,65
33420.0,2.74,32
35217.0,2.82,63
33964.0,3.1,52
58524.0,3.09,63
47735.0,3.27,39
7939.0,2.3,65
16017.0,2.53,45
41366.0,3.03,55
35455.0,2.91,30
46333.0,3.29,58
35760.0,3.18,46
19620.0,2.92,51
18245.0,2.88,33
43341.0,2.94,62
35575.0,2.88,56
49015.0,3.24,38
35807.0,2.87,61
73198.0,3.36,50
20936.0,2.84,47
60434.0,3.1,45
42101.0,2.94,61
22092.0,2.74,40
43724.0,2.88,59
50058.0,3.58,35
27956.0,2.83,51
75037.0,3.25,52
57621.0,3.31,31
24040.0,2.57,31
45793.0,2.97,62
16624.0,2.73,57
65122.0,3.17,61
58297.0,3.12,62
50870.0,2.98,47
25108.0,3.05,56
45938.0,2.96,35
33907.0,2.99,33
83361.0,3.54,50
37426.0,2.7,58
21035.0,2.69,37
65411.0,3.25,51
46574.0,3.01,49
37131.0,3.37,43
51828.0,2.99,54
28434.0,2.62,36
33025.0,2.96,56
23475.0,2.86,50
79923.0,3.34,48
88012.0,3.68,34
54477.0,3.13,49
34432.0,3.04,49
20519.0,2.85,33
35382.0,2.8,35
28684.0,3.09,41
21379.0,2.67,60
18340.0,2.74,43
50072.0,2.91,34
21260.0,2.42,60
26165.0,3.0,33
41222.0,2.91,60
17605.0,2.73,51
36490.0,3.17,31
66180.0,3.15,57
44785.0,2.79,38
34671.0,3.08,36
57636.0,3.32,31
22113.0,2.95,63
60297.0,3.18,32
84305.0,3.41,32
61336.0,3.03,66
63457.0,3.1,56
19260.0,2.65,45
37411.0,2.96,41
54431.0,3.19,42
17278.0,2.58,33
62836.0,3.27,51
44375.0,3.58,53
33007.0,2.75,46
94787.0,3.73,39
49056.0,2.88,62
39887.0,2.74,54
78496.0,3.35,35
67560.0,3.21,40
29317.0,3.1,62
36985.0,2.99,60
64958.0,3.21,33
41040.0,3.23,53
42420.0,3.0,60
36574.0,2.89,59
31960.0,3.0,35
22466.0,2.88,60
57092.0,2.98,57
27171.0,3.16,40
56258.0,3.19,42
42536.0,2.77,38
56220.0,3.37,41
23029.0,2.97,44
41106.0,3.25,43
33496.0,2.81,53
29397.0,2.97,54
94937.0,3.51,50
46404.0,3.02,45
89516.0,3.4,55
24971.0,2.75,49
19737.0,2.83,58
12975.0,2.64,51
55572.0,3.3,47
56186.0,3.1,36
43583.0,3.23,51
21043.0,2.41,53
36693.0,3.55,60
99755.0,3.54,46
49663.0,3.2,40
22784.0,2.64,52
32838.0,2.72,66
43194.0,3.46,50
58916.0,3.34,31
62443.0,3.22,64
35254.0,2.9,44
28620.0,2.98,65
30096.0,2.94,58
29138.0,2.56,40
42886.0,3.39,40
29208.0,3.02,32
17084.0,2.83,52
25646.0,3.17,42
20935.0,2.54,34
51182.0,3.39,54
29915.0,2.65,43
23206.0,2.67,33
27313.0,2.57,41
28076.0,3.28,63
71707.0,3.18,65
53842.0,3.16,50
52121.0,3.52,43
36539.0,3.14,44
49467.0,3.16,33
38424.0,2.71,54
44779.0,3.34,45
62970.0,3.16,41
34927.0,2.82,54
75023.0,3.35,34
27162.0,2.84,30
29572.0,3.09,38
32668.0,3.35,57
12520.0,2.43,60
42011.0,2.82,47
50440.0,2.87,49
64554.0,3.1,59
19333.0,2.42,58
60499.0,3.41,53
41893.0,2.78,51
43228.0,3.53,32
64514.0,3.26,58
50296.0,3.36,48
21699.0,2.83,46
23870.0,2.55,42
75239.0,3.23,30
27638.0,2.95,59
65620.0,3.09,55
25219.0,2.87,40
18435.0,2.37,61
36435.0,3.43,32
45819.0,2.84,50
54811.0,3.39,39
31468.0,2.72,59
32631.0,2.77,56
17991.0,2.59,40
39484.0,3.09,53
34279.0,2.69,54
42458.0,2.79,58
13069.0,2.67,42
79571.0,3.29,55
17797.0,2.86,62
34966.0,2.94,56
30441.0,3.37,33
39923.0,3.31,56
21395.0,2.79,30
28176.0,2.86,41
32351.0,2.82,34
39732.0,2.9,31
22885.0,2.79,59
62220.0,3.09,34
32765.0,3.42,33
47653.0,3.1,41
30354.0,3.07,52
29854.0,2.74,36
49321.0,3.17,61
35789.0,3.43,36
45758.0,3.1,31
28539.0,3.19,33
28909.0,3.07,53
11365.0,2.55,31
24539.0,2.55,34
22337.0,2.72,62
7098.0,2.19,35
67114.0,3.14,31
10558.0,2.45,62
24773.0,2.68,37
49211.0,3.01,41
43909.0,2.8,54
20661.0,2.84,41
56334.0,3.03,59
37301.0,3.11,34
18701.0,2.59,41
20518.0,2.91,59
37738.0,3.42,37
47647.0,3.15,44
37803.0,2.7,66
18532.0,2.54,48
53215.0,3.5,30
25164.0,2.71,49
37123.0,3.39,54
17332.0,2.8,33
44333.0,3.01,37
67587.0,3.21,57
46754.0,2.9,34
36079.0,3.28,52
39468.0,3.36,66
19881.0,2.87,54
39820.0,2.93,62
52269.0,2.91,56
49434.0,2.89,51
28055.0,3.05,58
35579.0,2.76,51
7519.0,2.25,62
33846.0,3.02,63
67663.0,3.53,46
26804.0,2.61,62
40284.0,2.89,54
36829.0,2.92,43
49637.0,3.22,65
65262.0,3.19,41
59427.0,3.16,44
28682.0,2.78,64
26400.0,2.49,35
13609.0,2.37,46
46205.0,2.84,57
50980.0,3.45,48
43940.0,2.99,61
35592.0,3.07,38
64717.0,3.29,30
32892.0,3.23,54
41537.0,2.97,59
30237.0,2.96,62
64727.0,3.27,44
65138.0,3.21,51
53103.0,3.22,40
18068.0,2.65,52
49060.0,3.4,48
43398.0,2.92,35
50471.0,3.62,45
35325.0,2.89,66
85993.0,3.47,66
21840.0,2.97,46
19280.0,2.66,46
37580.0,2.77,59
52447.0,3.21,32
31672.0,3.06,46
55886.0,2.97,58
48271.0,3.02,46
20777.0,2.96,36
32727.0,2.86,43
44324.0,2.88,41
28365.0,2.65,32
49201.0,3.07,53
15716.0,2.75,61
11559.0,2.35,53
68803.0,3.22,44
19879.0,2.96,46
19054.0,2.93,47
21961.0,2.69,39
12403.0,2.36,60
45905.0,2.88,59
77957.0,3.36,61
68905.0,3.15,47
37614.0,2.67,40
17620.0,2.66,42
34336.0,3.5,30
104134.0,3.67,43
47465.0,3.04,57
46792.0,3.11,51
28219.0,2.64,38
29596.0,2.86,47
63493.0,3.82,37
44988.0,2.79,39
45029.0,3.16,53
17953.0,2.61,56
18049.0,2.76,52
51771.0,3.31,65
61744.0,3.07,60
59266.0,3.62,35
80332.0,3.31,39
34996.0,3.27,30
35271.0,2.71,57
26572.0,2.59,40
55171.0,2.97,66
60625.0,3.22,63
48320.0,3.31,57
49631.0,2.97,39
17440.0,2.79,38
15961.0,2.77,62
52857.0,2.91,53
64078.0,3.12,44
30420.0,2.61,61
61752.0,3.11,42
66806.0,3.18,32
45726.0,3.14,49
54640.0,3.09,39
25915.0,3.17,57
20790.0,2.61,33
29190.0,2.87,42
14572.0,2.69,45
15702.0,2.56,66
41393.0,2.75,54
34979.0,2.92,55
35153.0,2.75,32
12938.0,2.63,30
35344.0,2.99,66
51597.0,3.05,51
29108.0,2.81,38
48609.0,2.85,46
25561.0,2.94,64
61977.0,3.22,46
56185.0,3.24,38
71985.0,3.39,64
36215.0,3.49,46
37283.0,2.69,55
30579.0,2.98,63
24326.0,3.08,53
59137.0,3.26,48
35935.0,2.74,62
40986.0,3.02,61
18997.0,2.88,63
15072.0,2.62,65
32115.0,2.71,42
62875.0,3.07,54
52687.0,3.08,40
28758.0,2.79,46
19196.0,2.59,56
30667.0,2.56,36
32210.0,2.71,34
59012.0,3.05,61
25331.0,2.59,56
83929.0,3.53,41
16836.0,2.43,49
44907.0,3.15,34
35336.0,3.16,53
29793.0,3.2,39
49379.0,2.89,43
12725.0,2.41,57
85845.0,3.44,39
17066.0,2.66,51
68075.0,3.22,63
60666.0,3.15,50
31923.0,3.0,56
41977.0,3.46,31
32212.0,3.2,43
58235.0,3.28,43
70234.0,3.5,40
20143.0,2.62,64
47064.0,3.2,33
62288.0,3.13,46
102524.0,3.58,45
44367.0,3.01,37
40065.0,3.14,31
21778.0,2.71,47
16867.0,2.83,35
36832.0,2.96,54
37100.0,3.01,64
36459.0,3.1,58
74958.0,3.65,60
69529.0,3.22,54
73392.0,3.36,46
30075.0,2.75,35
37795.0,3.14,57
82355.0,3.31,56
21824.0,2.46,32
32821.0,2.6,61
33081.0,2.72,51
44790.0,2.83,32
29253.0,2.53,33
76476.0,3.24,51
47710.0,3.19,31
24443.0,2.94,40
15672.0,2.39,44
39081.0,2.97,56
42857.0,3.16,66
77179.0,3.37,62
27356.0,2.62,45
37400.0,2.77,56
20771.0,2.81,44
12016.0,2.28,46
47331.0,2.83,31
43848.0,3.03,64
74555.0,3.56,62
32862.0,3.15,47
50662.0,3.11,30
63541.0,3.17,32
19535.0,2.78,35
64058.0,3.3,61
36105.0,2.82,40
101668.0,3.7,41
38882.0,3.16,47
39139.0,2.89,42
40279.0,3.17,58
50935.0,2.92,53
64579.0,3.54,37
18109.0,2.57,32
21453.0,2.72,42
50013.0,2.98,42
21417.0,2.53,33
20330.0,2.86,39
52220.0,3.41,62
38612.0,2.74,45
48438.0,3.53,43
31867.0,3.32,44
36654.0,3.42,55
38989.0,2.98,49
27537.0,2.79,62
56902.0,3.27,49
60494.0,3.05,41
47302.0,3.18,57
41229.0,3.01,40
30082.0,3.14,51
28284.0,3.19,56
50023.0,2.94,44
60651.0,3.17,58
41947.0,3.11,33
33494.0,2.94,57
47124.0,3.15,42
73013.0,3.26,59
19862.0,2.95,40
23007.0,3.01,35
48077.0,3.17,38
49350.0,2.93,32
17273.0,2.74,49
10175.0,2.49,31
20045.0,2.93,58
14767.0,2.53,42
30697.0,2.73,52
59991.0,3.16,52
89243.0,3.58,49
68228.0,3.41,49
16875.0,2.76,32
32637.0,3.09,58
14021.0,2.53,32
59014.0,3.39,37
24672.0,3.03,42
43169.0,3.07,65
48658.0,3.04,51
17001.0,2.59,42
13327.0,2.44,59
20881.0,3.01,37
58020.0,3.35,32
16717.0,2.57,62
41680.0,2.91,61
54879.0,2.96,33
47801.0,3.07,31
30076.0,2.97,61
53702.0,2.93,36
30738.0,2.81,37
54847.0,2.97,61
26154.0,3.24,44
50019.0,2.88,55
45234.0,2.85,63
20276.0,2.86,43
26883.0,2.49,44
16167.0,2.57,60
28348.0,2.99,59
31356.0,2.99,52
34491.0,2.93,37
47211.0,2.85,53
22689.0,2.74,34
64816.0,3.29,33
19651.0,2.83,58
28910.0,3.01,64
34398.0,2.95,46
24977.0,3.14,54
22696.0,2.91,45
